Category,Value,Clue,Answer

INTERNET JARGON,$200,"Meaning ""I approve"", ""coo"" is short for this; saving 1 keystroke adds up",cool
MOUNTAINS,$200,"Boulder, Colorado is in the Flatiron Range, part of these mountains",Rocky Mountains
WANNA DANCE?,$200,"It's said that ""it takes two to"" do this dance that evolved in Buenos Aires",tango
3-LETTER WORDS WITH 2 VOWELS,$200,It's a singing twosome,duo
THE STORY OF HIS LIFE,$200,"""A Journey"" (maybe a short one on a speed skating track)",(Apolo Anton) Ohno
ATTACK OF THE MOVIE MONSTERS,$200,"""Jaws"", about one of these sea creatures, kept lots of folks out of the water",shark
INTERNET JARGON,$400,"""GTG"" can mean ""good to go"" or this parting phrase",got to go
MOUNTAINS,$400,"What the Arabs call Jebel Musa, ""Mountain of Moses"", is better known as this",Mount Sinai
WANNA DANCE?,$400,This dance that was popular in the 1920s is named for a city in South Carolina,Charleston
3-LETTER WORDS WITH 2 VOWELS,$400,A mineral deposite from which metal can be extracted,ore
THE STORY OF HIS LIFE,$400,"An actor turned politican: ""Total Recall""",(Arnold) Schwarzenegger
ATTACK OF THE MOVIE MONSTERS,$400,You can see this monster from Egypt's past in a film from back in 1932 or at Universal Studios,the Mummy
INTERNET JARGON,$600,"Someone who types ""sup"" to you is contracting these 2 words",what\'s up
MOUNTAINS,$600,"You must be 42"" tall to hop on this Disneyland ride; its 14,692-foot namesake in the pennine alps is tougher sledding",Matterhorn
WANNA DANCE?,$600,A pair of quick steps are followed by a pair of slow ones in the dance called the Texas this,two-step
3-LETTER WORDS WITH 2 VOWELS,$600,Hold your horses & give me this synonym for sadness,woe
THE STORY OF HIS LIFE,$600,"A playwright: ""The Kindness of Strangers""",Tennessee Williams
ATTACK OF THE MOVIE MONSTERS,$600,"""AVP"" is short for ""Alien vs."" it",predator
INTERNET JARGON,$800,"In ""kk"", the first K replaces this letter",O
MOUNTAINS,$800,"This peak is the only mountain in North America that exceeds 20,000 feet",Mount McKinley
WANNA DANCE?,$800,Dances with repetitive names include the cancan & this lively Cuban dance,cha-cha
3-LETTER WORDS WITH 2 VOWELS,$800,"In a fairy tale, a princess can feel it through 20 mattresses",pea
THE STORY OF HIS LIFE,"Either this was a Daily Double, or the clue was not reached.","A Pennsylvania businessman: ""Young Chocolatier""",Hershey
ATTACK OF THE MOVIE MONSTERS,$800,"This lovestruck giant ape ends up far from skull island, his home",King Kong
INTERNET JARGON,$1000,"Writer Adam Gopnik was among parents who made their kids snicker by thinking ""LOL"" meant this, not ""laugh out loud""",lots of love
MOUNTAINS,$1000,"Not quite 14,500 feet, this California peak is named for geologist Josiah",Mount Whitney
WANNA DANCE?,$1000,Polite society was shocked to see couples in close contact for this ballroom dance that has a Viennese type,waltz
3-LETTER WORDS WITH 2 VOWELS,$1000,"The last class of the day seems to last this long, the longest division of geologic time",eon
THE STORY OF HIS LIFE,$1000,"An electrical genius from Europe: ""My Inventions""",Tesla
ATTACK OF THE MOVIE MONSTERS,$1000,"Abe Sapein helps this well-""red"" guy went from the dark side to working for our side",Hellboy
1950-2000,$400,He's the President seen here signing into law the Civil Rights Act of 1964,Lyndon Johnson
THE ARTS,$400,December is a good time to see this 1892 ballet that features the Sugar Plum Fairy,The Nutcracker
SYMPTOMS OF LOVE,$400,"One symptom of love is a loss of this, the desire for food",appetite
ANTHROPOLOGY,$400,"Lewis Morgan said we've progressed ""from savagery through barbarism to"" this sophisticated stage",civilization
MUSIC INDUSTRY TERMS,$400,"Incorporating part of an old song into a new song, or trying a free piece of cheese at the deli",sampling
"A FEW WORDS WITH ""MOM"" AND ""DAD""",$400,"For very low temperatures, these may use magnets instead of mercury",thermometers
1950-2000,$800,"In the early '80s, it was sometimes called ""GRID"", gay-related immune deficiency",AIDS
THE ARTS,"Either this was a Daily Double, or the clue was not reached.","Praise the Lord! Over a century old, this American form of Christian music combines elements of blues, jazz & spirituals",gospel
SYMPTOMS OF LOVE,$800,Xerostomia means a dry one of these; try not to put your foot in yours when you talk to your crush,mouth
ANTHROPOLOGY,$800,"""Bougie"", slang for upscale or snobby, comes from this class described by Karl Marx",bourgeoisie
MUSIC INDUSTRY TERMS,$800,"If your iPod display reads ""Drake f/ Majid Jordan"", the f/ stands for this",featuring
"A FEW WORDS WITH ""MOM"" AND ""DAD""",$800,Name of a city in southern Colorado as well as Tobago's partner island,Trinidad
1950-2000,$1200,"(Sarah of the Clue Crew shows a map on the monitor.)  On the morning of June 25th, 1950, forces in the north stormed across the 38th parallel, beginning this 3-year long conflict",the Korean War
THE ARTS,$1200,Donatello sculpted a marble statue of this biblical youth almost 100 years before Michelangelo,David
SYMPTOMS OF LOVE,$1200,"When your beloved is near, you hear the 1824 ""Ode to Joy"" by this composer",Beethoven
ANTHROPOLOGY,"Either this was a Daily Double, or the clue was not reached.","Elsie Parsons studied these ""apartment"" dwelling Indians of the Southwest, including the Zuni",Pueblos
MUSIC INDUSTRY TERMS,$1200,An album that sells 10 million copies is certified this gem,diamond
"A FEW WORDS WITH ""MOM"" AND ""DAD""",$1200,"Look out, this type of small family store, here comes Walmart",mom-and-pop
1950-2000,$1600,"This senator from Wisconsin is best remembered for his Communist ""witch hunts"" of the 1950s",(Joseph) McCarthy
THE ARTS,$1600,"This city's pops is affectionately known as ""America's Orchestra""",Boston
SYMPTOMS OF LOVE,$1600,"Poor coordination & tingling--could be love or a lack of thiamine, also called this alphanumeric vitamin",B1
ANTHROPOLOGY,$1600,"A classic work of cultural anthropology is antonymically titled this ""and the cooked""",raw
MUSIC INDUSTRY TERMS,$1600,"""AC"" stands for this radio format favored by some folks of a certain age",adult contemporary
"A FEW WORDS WITH ""MOM"" AND ""DAD""",$1600,A relaxing type of herbal tea from celestial seasonings,chamomile
1950-2000,$2000,"In 1972, terrorism by a group of Palestinians marred the Olympic Games in this German city",Munich
THE ARTS,$2000,"At the Louvre, 16th century Italian tapestries depict scenes from this poet's ""Metamorphoses""",Ovid
SYMPTOMS OF LOVE,$2000,"Forms of this abnormality of the heartbeat include ""skipping a beat"", fibrillation & tachycardia, beating too fast",arrhythmia
ANTHROPOLOGY,$2000,In 1925 she set out for the South Pacific to study adolescent girls,Margaret Mead
MUSIC INDUSTRY TERMS,$2000,"A songwriter can make money writing these; they are brief catchy tunes to sell cars, tissues or prunes",jingle
"A FEW WORDS WITH ""MOM"" AND ""DAD""",$2000,"Meaning ""city"", this word comes before ""Juarez"" & ""de Mexico""",Ciudad
AWARDS & HONORS,Final Jeopardy!,"There were no winners for this award from 1939 through 1943; in 1944, it was won by the International Committee of the Red Cross",(none)
THE ARTS,"Either this was a Daily Double, or the clue was not reached.",The battles of Shiloh & Collierville were fought in this state,(none)
